trial,model,batch_size,learning_rate,training_time_s,test_accuracy_pct
1,tensorflow,32,0.001,26.431907999998657,90.03999999999999
1,numpy,32,0.001,18.23953629998141,90.21000000000001
2,tensorflow,32,0.001,24.8536335999961,90.12
2,numpy,32,0.001,17.15707270000712,90.23
3,tensorflow,32,0.001,24.82044839998707,90.07
3,numpy,32,0.001,16.904823200020473,90.13
4,tensorflow,32,0.001,25.69042170001194,90.2
4,numpy,32,0.001,16.99615160000394,90.25999999999999
5,tensorflow,32,0.001,25.120054900005925,90.36999999999999
5,numpy,32,0.001,16.440851499995915,90.28
1,tensorflow,32,0.003,24.964959000004455,92.17
1,numpy,32,0.003,16.496657500014408,92.47
2,tensorflow,32,0.003,25.666413800005103,92.75999999999999
2,numpy,32,0.003,17.033007699996233,92.44
3,tensorflow,32,0.003,24.770148800016614,92.32000000000001
3,numpy,32,0.003,16.73343749999185,92.80000000000001
4,tensorflow,32,0.003,25.470776000001933,92.32000000000001
4,numpy,32,0.003,16.14772589999484,92.77
5,tensorflow,32,0.003,27.152719700010493,92.58999999999999
5,numpy,32,0.003,16.583131699997466,92.58999999999999
1,tensorflow,32,0.01,26.41136430000188,95.13000000000001
1,numpy,32,0.01,16.447938199999044,94.73
2,tensorflow,32,0.01,25.54903049999848,94.84
2,numpy,32,0.01,16.37418390001403,94.93
3,tensorflow,32,0.01,26.370506900013424,94.76
3,numpy,32,0.01,16.212580299994443,94.97
4,tensorflow,32,0.01,26.165458000003127,94.67999999999999
4,numpy,32,0.01,17.15039369999431,94.74000000000001
5,tensorflow,32,0.01,24.652788899984444,94.89
5,numpy,32,0.01,16.30659769999329,95.28
1,tensorflow,32,0.03,26.712979700008873,96.75
1,numpy,32,0.03,16.684369399998104,96.86
2,tensorflow,32,0.03,26.730733299977146,96.86
2,numpy,32,0.03,16.232845699996687,96.99
3,tensorflow,32,0.03,25.86258290000842,96.77
3,numpy,32,0.03,16.772802499996033,96.94
4,tensorflow,32,0.03,25.4301025000168,96.93
4,numpy,32,0.03,16.19439390001935,96.81
5,tensorflow,32,0.03,24.78314909999608,96.74000000000001
5,numpy,32,0.03,16.456542600004468,96.93
1,tensorflow,32,0.1,26.188148000015644,97.64
1,numpy,32,0.1,16.618627999996534,97.35000000000001
2,tensorflow,32,0.1,25.782870600000024,97.24000000000001
2,numpy,32,0.1,16.70587790000718,97.46000000000001
3,tensorflow,32,0.1,26.405221400025766,97.56
3,numpy,32,0.1,16.368314699997427,97.48
4,tensorflow,32,0.1,27.15234739999869,97.54
4,numpy,32,0.1,16.425920300011057,97.38
5,tensorflow,32,0.1,26.82461599999806,97.37
5,numpy,32,0.1,16.356436200003373,97.39999999999999
1,tensorflow,64,0.001,14.23643260000972,87.99
1,numpy,64,0.001,14.289980900008231,88.16000000000001
2,tensorflow,64,0.001,14.871457400004147,88.44
2,numpy,64,0.001,14.353513700014446,88.14
3,tensorflow,64,0.001,14.278960099996766,87.77000000000001
3,numpy,64,0.001,14.457243900018511,88.44999999999999
4,tensorflow,64,0.001,14.400368900009198,88.48
4,numpy,64,0.001,14.351350099983392,88.25
5,tensorflow,64,0.001,14.52443350001704,88.07000000000001
5,numpy,64,0.001,14.32532619999256,88.41
1,tensorflow,64,0.003,15.370412099990062,90.99000000000001
1,numpy,64,0.003,14.756550699996296,90.83
2,tensorflow,64,0.003,14.465168900002027,90.78
2,numpy,64,0.003,14.569262700009858,91.11
3,tensorflow,64,0.003,14.300221399986185,91.03999999999999
3,numpy,64,0.003,14.741697799996473,91.01
4,tensorflow,64,0.003,13.53295920000528,91.32000000000001
4,numpy,64,0.003,14.77424559998326,91.32000000000001
5,tensorflow,64,0.003,14.607620800001314,90.85
5,numpy,64,0.003,14.811344899993856,90.94
1,tensorflow,64,0.01,13.87234719999833,93.34
1,numpy,64,0.01,14.553925099986373,93.33
2,tensorflow,64,0.01,14.145989000011468,93.32000000000001
2,numpy,64,0.01,14.728662800014718,93.64
3,tensorflow,64,0.01,14.12096119998023,93.45
3,numpy,64,0.01,14.48026199999731,93.42
4,tensorflow,64,0.01,14.007162900001276,93.17999999999999
4,numpy,64,0.01,14.429281199991237,93.47999999999999
5,tensorflow,64,0.01,13.954087299993262,93.65
5,numpy,64,0.01,14.375161700008903,93.77
1,tensorflow,64,0.03,13.855867000005674,95.64
1,numpy,64,0.03,14.279146199987736,95.84
2,tensorflow,64,0.03,14.775350000010803,95.74000000000001
2,numpy,64,0.03,14.407484099996509,95.85000000000001
3,tensorflow,64,0.03,14.371886400011135,95.61
3,numpy,64,0.03,14.492509500007145,95.8
4,tensorflow,64,0.03,13.787957900000038,95.73
4,numpy,64,0.03,14.667572500009555,95.78
5,tensorflow,64,0.03,13.386461999994935,95.52000000000001
5,numpy,64,0.03,14.569643299997551,95.97
1,tensorflow,64,0.1,14.843735999980709,97.39999999999999
1,numpy,64,0.1,14.222922699991614,97.13000000000001
2,tensorflow,64,0.1,14.151977800007444,97.21
2,numpy,64,0.1,14.302781200007303,97.3
3,tensorflow,64,0.1,13.610521399998106,97.35000000000001
3,numpy,64,0.1,14.647541400016053,97.06
4,tensorflow,64,0.1,14.029476800002158,97.15
4,numpy,64,0.1,14.403612800000701,97.11999999999999
5,tensorflow,64,0.1,13.369778199994471,97.00999999999999
5,numpy,64,0.1,15.136757100000978,97.37
1,tensorflow,128,0.001,8.309139899996808,84.64
1,numpy,128,0.001,14.066205800016178,84.63000000000001
2,tensorflow,128,0.001,8.298555700021097,82.97
2,numpy,128,0.001,13.934580500004813,83.86
3,tensorflow,128,0.001,8.15587129999767,84.8
3,numpy,128,0.001,14.252857599989511,85.28
4,tensorflow,128,0.001,8.487736499984749,84.59
4,numpy,128,0.001,14.139327600016259,83.8
5,tensorflow,128,0.001,8.33340629999293,84.74000000000001
